"trial.count"	"stimulus"	"study"	"age"	"condition"	"gender"	"yoke_video"	"version"	"side"	"ID"	"choices"	"light"	"which_cup"	"correct_choice"	"time_win"	"roi_c1"	"roi_c2"	"roi_c3"	"roi_cor"
6	"F2_wom2_cup1-19"	"ETPIP"	"M24"	"adul"	"0"	"f2"	"wom2"	"rig"	"245630"	"232332222"	"darks"	"2"	0	"time4"	NA	NA	NA	NA
7	"F2_wom2_cup3-21"	"ETPIP"	"M24"	"adul"	"0"	"f2"	"wom2"	"rig"	"245630"	"232332222"	"darks"	"2"	0	"time4"	NA	NA	NA	NA
8	"F2_wom2_cup2-23"	"ETPIP"	"M24"	"adul"	"0"	"f2"	"wom2"	"rig"	"245630"	"232332222"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
9	"F2_wom2_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f2"	"wom2"	"rig"	"245630"	"232332222"	"darks"	"2"	0	"time4"	NA	NA	NA	NA
1	"F3_wom3_cup1-9"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"lef"	"244946"	"122222222"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
2	"F3_wom3_cup3-11"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"lef"	"244946"	"122222222"	"darks"	"2"	0	"time4"	NA	NA	NA	NA
3	"F3_wom3_cup2-13"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"lef"	"244946"	"122222222"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
4	"F3_wom3_cup1-15"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"lef"	"244946"	"122222222"	"darks"	"2"	0	"time4"	NA	NA	NA	NA
5	"F3_wom3_cup2-17"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"lef"	"244946"	"122222222"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
6	"F3_wom3_cup3-19"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"lef"	"244946"	"122222222"	"darks"	"2"	0	"time4"	NA	NA	NA	NA
7	"F3_wom3_cup2-21"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"lef"	"244946"	"122222222"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
8	"F3_wom3_cup3-23"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"lef"	"244946"	"122222222"	"darks"	"2"	0	"time4"	NA	NA	NA	NA
9	"F3_wom3_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"lef"	"244946"	"122222222"	"darks"	"2"	0	"time4"	1	NA	0	1
1	"F3_wom3_cup2-9"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"245950"	"221321321"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
2	"F3_wom3_cup3-11"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"245950"	"221321321"	"darks"	"2"	0	"time4"	NA	NA	NA	NA
3	"F3_wom3_cup1-13"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"245950"	"221321321"	"darks"	"1"	1	"time4"	0.421052631578947	NA	0.963133640552995	0.421052631578947
4	"F3_wom3_cup3-15"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"245950"	"221321321"	"darks"	"3"	1	"time4"	NA	NA	NA	NA
5	"F3_wom3_cup2-17"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"245950"	"221321321"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
6	"F3_wom3_cup1-19"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"245950"	"221321321"	"darks"	"1"	1	"time4"	1	NA	0	1
7	"F3_wom3_cup3-21"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"245950"	"221321321"	"darks"	"3"	1	"time4"	0	NA	1	1
8	"F3_wom3_cup2-23"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"245950"	"221321321"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
9	"F3_wom3_cup1-25"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"245950"	"221321321"	"darks"	"1"	1	"time4"	1	NA	0	1
1	"F3_wom3_cup3-9"	"ETPIP"	"M24"	"adul"	"0"	"f3"	"wom3"	"rig"	"246988"	"223322321"	"light"	"2"	0	"time4"	NA	NA	NA	NA
